point_id,seg_id,lat,lon,can_type,prj_name
SEG_a6bc0c4e9c_008,SEG_a6bc0c4e9c,10.807303481284142,78.6759482132357,Main Canal,Kattalai
SEG_9f2427753f_002,SEG_9f2427753f,10.968439620890711,79.04922154518762,Minor,Pullambadi Canal
SEG_8617c9691a_054,SEG_8617c9691a,10.902246183186453,78.66246059289851,Main Canal,Pullambadi Canal
SEG_25c908c020_000,SEG_25c908c020,10.7343860132231,79.18182829597679,Branch Canal,Cauvery Mettur
SEG_86f3014737_016,SEG_86f3014737,10.923903400924198,79.01807673838296,Minor,Pullambadi Canal
SEG_a06761095b_003,SEG_a06761095b,10.972453214353632,79.07006766041496,Minor,Pullambadi Canal
SEG_ce0fc58284_003,SEG_ce0fc58284,11.374732665652076,79.69428497310388,Main Canal,Lower Colleron Anicut System
SEG_96f3f88334_001,SEG_96f3f88334,10.94133853443128,78.91508196599389,Distributary,Pullambadi Canal
SEG_da34fcab83_011,SEG_da34fcab83,10.632615530028604,79.23689257966826,Branch Canal,Cauvery Mettur
SEG_f196fc8d93_016,SEG_f196fc8d93,11.154168017551402,79.47497989612302,Main Canal,Lower Colleron Anicut System
SEG_6f24fed444_008,SEG_6f24fed444,10.805724435244857,78.98780705476965,Minor,Cauvery Mettur
SEG_a1c305460e_116,SEG_a1c305460e,10.473696885626609,79.41296245874355,Branch Canal,Cauvery Mettur
SEG_079fe720bb_011,SEG_079fe720bb,11.334826126612764,79.61325717224682,Minor,Lower Colleron Anicut System
SEG_a1c305460e_044,SEG_a1c305460e,10.552991555323535,79.32237705441543,Branch Canal,Cauvery Mettur
SEG_073be8e241_051,SEG_073be8e241,11.219256928556211,79.60792985744797,Main Canal,Lower Colleron Anicut System
SEG_aa94cb0ab4_019,SEG_aa94cb0ab4,11.35906382480824,79.57752872175877,Minor,Lower Colleron Anicut System
SEG_121ad386ef_122,SEG_121ad386ef,10.930540431300292,78.76876136860665,Main Canal,Pullambadi Canal
SEG_c60cbfef2b_299,SEG_c60cbfef2b,10.898110200178456,78.4157926411899,Main Canal,Kattalai
SEG_39fd14b825_077,SEG_39fd14b825,11.216524258612642,79.56336108018249,Main Canal,Lower Colleron Anicut System
SEG_591cf61356_007,SEG_591cf61356,10.82673796896964,78.90556015692997,Main Canal,Cauvery Delta System
SEG_e2bc7d7ff0_042,SEG_e2bc7d7ff0,10.772688908739038,79.23056409164587,Distributary,Cauvery Mettur
SEG_f2fafdf6e9_147,SEG_f2fafdf6e9,10.405274290986531,79.38398412291201,Distributary,Cauvery Mettur
SEG_079fe720bb_019,SEG_079fe720bb,11.333777115972822,79.59943278257718,Minor,Lower Colleron Anicut System
SEG_e9c2917a22_023,SEG_e9c2917a22,11.365661310559254,79.60563331734608,Minor,Lower Colleron Anicut System
SEG_401afa7a54_045,SEG_401afa7a54,10.73222904071917,79.25085213317742,Distributary,Cauvery Mettur
SEG_a1c305460e_062,SEG_a1c305460e,10.538391477431398,79.34889852581937,Branch Canal,Cauvery Mettur
SEG_7704d19b24_012,SEG_7704d19b24,11.344927494072024,79.60390357542198,Minor,Lower Colleron Anicut System
SEG_edd59143a1_033,SEG_edd59143a1,10.71301774467478,78.74967854108887,Main Canal,Kattalai
SEG_073be8e241_049,SEG_073be8e241,11.217250985410498,79.60490443501385,Main Canal,Lower Colleron Anicut System
SEG_e9c2917a22_041,SEG_e9c2917a22,11.364780459482784,79.63456485818703,Minor,Lower Colleron Anicut System
SEG_d703f4c9a0_018,SEG_d703f4c9a0,10.695421525288753,79.21336846112287,Branch Canal,Cauvery Mettur
SEG_591cf61356_026,SEG_591cf61356,10.832153485830936,78.93957462729284,Main Canal,Cauvery Delta System
SEG_a1c305460e_047,SEG_a1c305460e,10.550398358274029,79.32714743919972,Branch Canal,Cauvery Mettur
SEG_a1c305460e_077,SEG_a1c305460e,10.518619445558803,79.36495638696093,Branch Canal,Cauvery Mettur
SEG_c60cbfef2b_268,SEG_c60cbfef2b,10.867937610462969,78.43600024571914,Main Canal,Kattalai
SEG_f2fafdf6e9_076,SEG_f2fafdf6e9,10.51127546569406,79.34202202626314,Distributary,Cauvery Mettur
SEG_d703f4c9a0_032,SEG_d703f4c9a0,10.67167748056278,79.22171657703029,Branch Canal,Cauvery Mettur
SEG_401afa7a54_037,SEG_401afa7a54,10.738039018576126,79.23777029047817,Distributary,Cauvery Mettur
SEG_a1c305460e_017,SEG_a1c305460e,10.58315969452306,79.28798447839631,Branch Canal,Cauvery Mettur
SEG_53bbb573d8_002,SEG_53bbb573d8,11.13912883613756,79.48071662053067,Distributary,Cauvery Delta System
SEG_401afa7a54_001,SEG_401afa7a54,10.740504009486452,79.18056428466252,Distributary,Cauvery Mettur
SEG_401afa7a54_034,SEG_401afa7a54,10.742009773504556,79.23431089493319,Distributary,Cauvery Mettur
SEG_5b899e1ac3_006,SEG_5b899e1ac3,10.940020732139768,78.98142826030174,Minor,Pullambadi Canal
SEG_a1c305460e_095,SEG_a1c305460e,10.499177583831592,79.38864373104215,Branch Canal,Cauvery Mettur
SEG_83c2fdf8de_020,SEG_83c2fdf8de,10.631885565815358,79.25652386876652,Distributary,Cauvery Mettur
SEG_da34fcab83_028,SEG_da34fcab83,10.605266309639518,79.24460162887429,Branch Canal,Cauvery Mettur
SEG_e9c2917a22_005,SEG_e9c2917a22,11.364122033034937,79.57293439214695,Minor,Lower Colleron Anicut System
SEG_6b76dc62cd_002,SEG_6b76dc62cd,10.953926765644672,79.02660389621613,Minor,Pullambadi Canal
SEG_83c2fdf8de_031,SEG_83c2fdf8de,10.621499182298171,79.2711176757653,Distributary,Cauvery Mettur
SEG_7624012b29_020,SEG_7624012b29,10.91331192713266,78.73545321120845,Minor,Pullambadi Canal
SEG_121ad386ef_146,SEG_121ad386ef,10.927744355257444,78.80868235125968,Main Canal,Pullambadi Canal
SEG_c60cbfef2b_151,SEG_c60cbfef2b,10.816501894815913,78.55573132091695,Main Canal,Kattalai
SEG_aa94cb0ab4_006,SEG_aa94cb0ab4,11.35800454933623,79.55386503686755,Minor,Lower Colleron Anicut System
SEG_401afa7a54_023,SEG_401afa7a54,10.743711616772147,79.21518737368652,Distributary,Cauvery Mettur
SEG_88870b49a3_083,SEG_88870b49a3,11.185242556552582,79.59286515096625,Main Canal,Cauvery Delta System
SEG_9c8e94a07f_017,SEG_9c8e94a07f,11.398633224383747,79.56130014990929,Minor,Lower Colleron Anicut System
SEG_e2bc7d7ff0_023,SEG_e2bc7d7ff0,10.770183192603696,79.19946713517542,Distributary,Cauvery Mettur
SEG_7271aaebf7_012,SEG_7271aaebf7,10.91273021170602,78.94338979214332,Distributary,Pullambadi Canal
SEG_282a67d30a_015,SEG_282a67d30a,10.976414107024048,79.08216019217782,Main Canal,Pullambadi Canal
SEG_a1c305460e_114,SEG_a1c305460e,10.475109234803575,79.40958346013024,Branch Canal,Cauvery Mettur
SEG_cd7be71fc9_008,SEG_cd7be71fc9,11.38013586459557,79.54624296474933,Minor,Lower Colleron Anicut System
SEG_a1c305460e_040,SEG_a1c305460e,10.559858873840836,79.32145654496509,Branch Canal,Cauvery Mettur
SEG_da34fcab83_008,SEG_da34fcab83,10.63652993376371,79.23290859555418,Branch Canal,Cauvery Mettur
