point_id,wet_dw_water,wet_dw_trees,wet_dw_grass,wet_dw_flooded_vegetation,wet_dw_crops,wet_dw_shrub_and_scrub,wet_dw_built,wet_dw_bare,wet_dw_nobs,dry_dw_water,dry_dw_trees,dry_dw_grass,dry_dw_flooded_vegetation,dry_dw_crops,dry_dw_shrub_and_scrub,dry_dw_built,dry_dw_bare,dry_dw_nobs
SEG_d6dea47961_000,0.09810094605199993,0.11586173311090814,0.10261194474475745,0.11217125532521795,0.37720642316853625,0.06493881469807374,0.0477035006481366,0.04606018516217144,20,0.038418890472549275,0.14386315673338965,0.11170889809130666,0.05408834126622726,0.3803411563440488,0.13798017947761437,0.0416056909165584,0.05237008404368773,12
SEG_d6dea47961_001,0.07659693100543405,0.11872908616742978,0.14278346723429142,0.20767441361229147,0.22952299376484003,0.09415920923123708,0.04415289377077269,0.05169944500532718,20,0.03855835917131164,0.1460301984050789,0.20509624321353975,0.10251470638337569,0.18137013816680664,0.18637986937298986,0.04156773757093993,0.05567002572710268,12
SEG_d6dea47961_002,0.07094597999600159,0.12347741710147565,0.12519422952393452,0.2117317746830346,0.25862354048975217,0.08373769447368745,0.04294680761998905,0.051029871183029,19,0.03814749418793676,0.09599174567623638,0.2351073639538999,0.06963556261064532,0.23461449858792222,0.18394159061314824,0.041261997109708876,0.059419338430206366,12
SEG_d6dea47961_003,0.10857055834952231,0.10721576196075872,0.13674770442522172,0.1818515984413142,0.24837595973438464,0.08470062313663065,0.046987263340419395,0.049201513956197436,18,0.04427491967679742,0.12632652228244412,0.1967394327556786,0.08361412556274819,0.244353931167354,0.16348737677654773,0.043588851536743536,0.05327526588315289,12
SEG_d6dea47961_004,0.09423647323626848,0.16682301092339283,0.06134959894293889,0.06574384613755747,0.24975726482055632,0.048553960039361306,0.2368774691946067,0.04003357166934747,17,0.0521542940942499,0.1873843210901564,0.10284451661386694,0.052651976120288074,0.29027914800173726,0.10205487049787712,0.1281363445555027,0.042209326168701336,12
SEG_d6dea47961_005,0.08329811497310963,0.11460132059090301,0.15922708451900539,0.14925475557990955,0.2882267174099925,0.07482485096939581,0.0510886262538302,0.0379772358328149,18,0.061930598743343473,0.14387727428961974,0.14409758550717902,0.08506466248311484,0.2451125560985066,0.1742286250063887,0.045519305688615605,0.04942009492795199,12
SEG_d6dea47961_006,0.06908856288846657,0.12322551513143518,0.1333416776414885,0.13984364879728572,0.29617976239856014,0.09358115310154795,0.05030142645887004,0.048075709104545505,19,0.045503299359180224,0.14010015296852507,0.13710050415399228,0.0549528191961578,0.3113498648696297,0.15896845920289307,0.04385569170022908,0.05629682708204908,14
SEG_d6dea47961_007,0.06153845272841393,0.25850671112748536,0.10002966086580023,0.13516611196402356,0.2618810429675165,0.06142429063692387,0.04537736830539126,0.03709742766786141,19,0.04253831038392045,0.3115457464875504,0.11172836491653487,0.05395313085289869,0.21816509931624983,0.13209155980280707,0.04220854966950052,0.04362049003378492,13
SEG_d6dea47961_008,0.06308751082684155,0.2345051807593723,0.0787874398852079,0.07360551176209224,0.2964406719323821,0.05228760223351081,0.12334034712542676,0.03722291907645357,17,0.039971756578020795,0.2643097418776476,0.07730459915501611,0.039643663721511783,0.18948539200558506,0.13235739622672898,0.1629439391686234,0.04694018176255317,13
SEG_d6dea47961_009,0.09650987875860705,0.09306074257490166,0.10068855211581454,0.16569535373757904,0.33030267403407343,0.08667549899657606,0.04405542852529834,0.0442358344519623,17,0.03422499989771102,0.11584485398285842,0.11448997777842604,0.0573846276383847,0.33039648058691984,0.1992664613896022,0.042274732466445426,0.06318543626811114,13
SEG_d6dea47961_010,0.09200909265592137,0.10565780407662438,0.134809739672217,0.16369207124096746,0.295926177279614,0.08050671926667842,0.04065251614456886,0.05163058203460834,20,0.0388564322463189,0.08522150414780928,0.1910604421595613,0.07332356738893744,0.2758566702190691,0.19456660160824707,0.0367428253371961,0.06228674457778628,12
SEG_d6dea47961_011,0.09212752197660715,0.12385981289305156,0.1713024515974485,0.1543117886282165,0.22572115454757652,0.0950980123419028,0.04271655221847438,0.058193851236280035,22,0.039256171581562235,0.1157997229288762,0.17147402402658302,0.06603940618552792,0.25057666526826766,0.21558589255437258,0.038770441395732075,0.06133708983767206,12
SEG_d6dea47961_012,0.0925187908032834,0.14851880878220303,0.12899152289533597,0.16899147852760613,0.24493300609184845,0.07974618898223634,0.042908185288726246,0.05588713912088629,21,0.039022051490461215,0.15360358694138437,0.13106237917105693,0.06798800150863828,0.24719160496561715,0.2212554137953796,0.03865546549712188,0.0605367955703957,12
SEG_d6dea47961_013,0.07888382071537058,0.1170666857940254,0.1686235278310943,0.14349633167299952,0.25949631574428933,0.0889429486587374,0.04003077252113837,0.06890298623788671,21,0.038259067512379084,0.24569359510247016,0.13639841443575237,0.06786040138167145,0.23556930337723941,0.1391183700087835,0.039022042985024624,0.05881266990842764,12
SEG_f60860652b_000,0.07771923511643851,0.2581256034071029,0.09098396415655047,0.10211974492248814,0.22560862590807862,0.0722195322867551,0.08264327612057357,0.04168201489425213,21,0.054187008687175624,0.16407997167716995,0.10020207738330683,0.08516018217853388,0.27183629794326875,0.13309346532108834,0.10107946861087559,0.04430775127958697,12
SEG_f60860652b_001,0.057978171693235284,0.266118558675044,0.06657937245087985,0.05475571590508835,0.14750288986083324,0.07386174664461463,0.2441359542316941,0.04300010799625331,19,0.05151302830274336,0.11452128880997545,0.041672653884280667,0.04334340080057676,0.15705770367266944,0.10067144826723218,0.39613119949652364,0.047556438137036874,12
SEG_f60860652b_002,0.03295971212498684,0.0902285770379787,0.04402459187146563,0.04295000056915272,0.06710431165296711,0.04194272944253958,0.6138197101182981,0.031014940840725463,18,0.029243476908259954,0.051456064490290984,0.03450583770739822,0.032805248039762654,0.05335614010422992,0.044351472792466394,0.687853750508601,0.030673229695261952,12
SEG_f60860652b_003,0.13821091398759527,0.187354383098489,0.047862218765795786,0.05481007832440359,0.10898021374995856,0.06418384290802001,0.30106563662461394,0.041807519277992186,18,0.09254456380716501,0.11375314780087092,0.0509145355437142,0.04419466003608437,0.10069003856281201,0.08346111458153106,0.4168702801629805,0.04582117767765736,12
SEG_f60860652b_004,0.04468047173565578,0.5014936166272503,0.07494519265587272,0.13147747175964083,0.06517165994765575,0.05817999944339699,0.037115558599185965,0.03817432813312451,19,0.0339592443779111,0.4654587837464463,0.06849768523646232,0.08680070132220116,0.08202596780103749,0.11416893308230033,0.04436593324405691,0.04992156610555517,12
SEG_8b4a5edf74_000,0.049984870971523904,0.28363634406599614,0.08808872009416754,0.0458869285638955,0.10907658502957764,0.08258506537733315,0.25903790677135025,0.03576900270469528,23,0.04389683985643778,0.07507583365357612,0.0500689164740494,0.037475979737665845,0.2231831468998188,0.133083880232255,0.3538332597187438,0.04063465327436981,13
SEG_8b4a5edf74_001,0.04283295089588352,0.21340401154456762,0.042040074155547,0.038268670923680845,0.06727585688752413,0.04759644500439912,0.4703065105614443,0.036756693982979635,23,0.038959080126945045,0.12041739493373084,0.0324398417314924,0.033153050630302223,0.1456064901501452,0.11117520467454957,0.43738389886137874,0.04002453600169047,14
